Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-22 00:00:00+05:30,30564.94921875,30662.75,30346.400390625,30391.400390625,337900,0.0,0.0
2025-09-23 00:00:00+05:30,30539.25,30568.94921875,30257.5,30333.80078125,643000,0.0,0.0
2025-09-24 00:00:00+05:30,30338.30078125,30429.099609375,30177.900390625,30287.400390625,591200,0.0,0.0
2025-09-25 00:00:00+05:30,30331.55078125,30381.400390625,30162.30078125,30196.5,337800,0.0,0.0
2025-09-26 00:00:00+05:30,30138.400390625,30201.599609375,29806.80078125,29822.099609375,415200,0.0,0.0
2025-09-29 00:00:00+05:30,29860.44921875,29908.44921875,29715.650390625,29793.650390625,417200,0.0,0.0
2025-09-30 00:00:00+05:30,29853.19921875,29897.69921875,29699.25,29829.94921875,426400,0.0,0.0
2025-10-01 00:00:00+05:30,29865.150390625,29938.400390625,29674.099609375,29872.75,309100,0.0,0.0
2025-10-03 00:00:00+05:30,29890.55078125,30017.25,29741.849609375,29985.05078125,484900,0.0,0.0
2025-10-06 00:00:00+05:30,30009.05078125,30043.650390625,29886.19921875,30008.05078125,286600,0.0,0.0
2025-10-07 00:00:00+05:30,30053.55078125,30152.400390625,29934.94921875,29964.30078125,247900,0.0,0.0
2025-10-08 00:00:00+05:30,29935.69921875,30052.5,29769.25,29828.75,321000,0.0,0.0
2025-10-09 00:00:00+05:30,29843.099609375,29913.19921875,29698.05078125,29897.099609375,311900,0.0,0.0
2025-10-10 00:00:00+05:30,29903.650390625,30026.80078125,29807.0,29990.0,289100,0.0,0.0
2025-10-13 00:00:00+05:30,29918.349609375,29964.400390625,29712.150390625,29779.0,236600,0.0,0.0
2025-10-14 00:00:00+05:30,29848.05078125,29869.099609375,29548.349609375,29663.400390625,317200,0.0,0.0
2025-10-15 00:00:00+05:30,29704.599609375,29940.25,29669.30078125,29887.19921875,302600,0.0,0.0
2025-10-16 00:00:00+05:30,29948.5,30188.5,29892.69921875,30169.0,322900,0.0,0.0
2025-10-17 00:00:00+05:30,30162.94921875,30324.80078125,30141.19921875,30205.0,332500,0.0,0.0
2025-10-20 00:00:00+05:30,30308.150390625,30392.150390625,30167.900390625,30180.80078125,182400,0.0,0.0
2025-10-21 00:00:00+05:30,30301.5,30326.0,30216.150390625,30258.349609375,50900,0.0,0.0
2025-10-23 00:00:00+05:30,30400.94921875,30494.400390625,30209.849609375,30255.900390625,381600,0.0,0.0
2025-10-24 00:00:00+05:30,30301.19921875,30301.19921875,30078.44921875,30172.25,456600,0.0,0.0
2025-10-27 00:00:00+05:30,30272.099609375,30315.0,30197.75,30293.150390625,421300,0.0,0.0
2025-10-28 00:00:00+05:30,30353.650390625,30367.849609375,30034.94921875,30143.44921875,433700,0.0,0.0
2025-10-29 00:00:00+05:30,30204.900390625,30341.349609375,30138.94921875,30309.19921875,546800,0.0,0.0
2025-10-30 00:00:00+05:30,30337.849609375,30343.94921875,30164.5,30315.150390625,352400,0.0,0.0
2025-10-31 00:00:00+05:30,30397.75,30457.69921875,30179.5,30204.94921875,545100,0.0,0.0
2025-11-03 00:00:00+05:30,30232.75,30286.650390625,30085.599609375,30255.30078125,45300,0.0,0.0
2025-11-04 00:00:00+05:30,30312.19921875,30322.5,30209.55078125,30251.80078125,349000,0.0,0.0
2025-11-06 00:00:00+05:30,30438.19921875,30440.80078125,30079.349609375,30102.849609375,373000,0.0,0.0
2025-11-07 00:00:00+05:30,30046.099609375,30112.5,29796.44921875,30089.30078125,260100,0.0,0.0
2025-11-10 00:00:00+05:30,30134.75,30298.650390625,30129.150390625,30207.400390625,250600,0.0,0.0
2025-11-11 00:00:00+05:30,30225.19921875,30273.349609375,30025.650390625,30250.0,343100,0.0,0.0
2025-11-12 00:00:00+05:30,30329.599609375,30335.44921875,30224.900390625,30285.099609375,442300,0.0,0.0
2025-11-13 00:00:00+05:30,30345.0,30495.400390625,30265.55078125,30302.55078125,819000,0.0,0.0
2025-11-14 00:00:00+05:30,30275.650390625,30305.69921875,30075.05078125,30172.0,361800,0.0,0.0
2025-11-17 00:00:00+05:30,30228.25,30369.19921875,30214.400390625,30350.5,252900,0.0,0.0
2025-11-18 00:00:00+05:30,30362.30078125,30362.30078125,30061.44921875,30174.0,278600,0.0,0.0
2025-11-19 00:00:00+05:30,30182.05078125,30226.30078125,30101.19921875,30206.900390625,208900,0.0,0.0
2025-11-20 00:00:00+05:30,30326.69921875,30367.30078125,30222.55078125,30247.75,250600,0.0,0.0
2025-11-21 00:00:00+05:30,30230.44921875,30234.150390625,30006.900390625,30063.650390625,303200,0.0,0.0
2025-11-24 00:00:00+05:30,30124.900390625,30149.05078125,29881.150390625,29915.099609375,627900,0.0,0.0
2025-11-25 00:00:00+05:30,29945.69921875,30019.099609375,29863.400390625,29923.69921875,401200,0.0,0.0
2025-11-26 00:00:00+05:30,29979.25,30332.5,29956.650390625,30310.75,375100,0.0,0.0
2025-11-27 00:00:00+05:30,30386.599609375,30402.650390625,30246.650390625,30338.55078125,1057400,0.0,0.0
2025-11-28 00:00:00+05:30,30337.80078125,30438.400390625,30267.650390625,30392.44921875,456600,0.0,0.0
2025-12-01 00:00:00+05:30,30511.900390625,30533.0,30408.55078125,30502.099609375,444600,0.0,0.0
2025-12-02 00:00:00+05:30,30464.44921875,30619.94921875,30456.05078125,30601.599609375,584900,0.0,0.0
2025-12-03 00:00:00+05:30,30633.44921875,30639.0,30293.599609375,30338.55078125,432100,0.0,0.0
2025-12-04 00:00:00+05:30,30338.80078125,30462.94921875,30219.94921875,30260.75,387600,0.0,0.0
2025-12-05 00:00:00+05:30,30246.650390625,30267.80078125,29950.05078125,30196.30078125,382000,0.0,0.0
2025-12-08 00:00:00+05:30,30198.599609375,30247.19921875,29647.69921875,29722.150390625,308800,0.0,0.0
2025-12-09 00:00:00+05:30,29662.80078125,29827.5,29417.30078125,29793.650390625,319200,0.0,0.0
2025-12-10 00:00:00+05:30,29844.30078125,29956.80078125,29698.150390625,29749.30078125,344700,0.0,0.0
2025-12-11 00:00:00+05:30,29769.94921875,29966.19921875,29684.5,29916.05078125,330300,0.0,0.0
